
building id: 1
-119.48157743526 49.875096640152 352.1216 
-119.48168639428 49.875096583241 351.0009 
-119.48168633888 49.875075999769 350.94130000001 
-119.48171595508 49.875076207053 350.6908 
-119.48171718549 49.874885709494 350.44040000001 
-119.48168492485 49.874884995321 350.72659999999 
-119.48168612743 49.874870718715 350.7982 
-119.48168977612 49.874870581312 350.8101 
-119.48169022183 49.874834116514 350.75049999999 
-119.48177204698 49.874833444149 350.7147 
-119.48177368101 49.87485457999 350.4881 
-119.48205028231 49.874855196612 350.4522 
-119.48205163956 49.874833821819 350.75049999999 
-119.48208131842 49.874832926066 350.834 
-119.48208169762 49.874764632793 351.94289999999 
-119.48200825834 49.874695268293 351.3826 
-119.48200924969 49.874673416666 350.9175 
-119.48197674337 49.874673373184 350.78630000001 
-119.481976247 49.874652491312 350.5358 
-119.48184233696 49.874652968905 350.4166 
-119.48184137286 49.874673873211 350.75049999999 
-119.48178029711 49.874673735433 350.78630000001 
-119.48192352533 49.874579581964 350.5716 
-119.48194478232 49.874579943538 350.5836 
-119.48194554891 49.874458643583 350.44040000001 
-119.48192426142 49.874457631986 350.60739999999 
-119.48178180223 49.874362937527 350.6551 
-119.48184117186 49.874362543533 350.8101 
-119.48184228679 49.874382499435 350.5717 
-119.48197593414 49.874383759919 350.5359 
-119.48197881971 49.874363456047 350.7148 
-119.48200903692 49.874363638132 350.7148 
-119.48201026746 49.874339247752 351.1917 
-119.48208388537 49.874271912607 352.0022 
-119.48208240746 49.8742029573 350.9771 
-119.48205171224 49.874202677789 350.9532 
-119.48205067732 49.874181260194 350.7028 
-119.4817749272 49.874181198464 350.51210000001 
-119.48177497618 49.874202412435 350.7982 
-119.48168868095 49.874201727071 350.8817 
-119.48168936199 49.874167536302 350.78630000001 
-119.48171850781 49.874164935787 350.7982 
-119.48171836051 49.873995718683 350.51210000001 
-119.48168741817 49.873994877402 350.91740000001 
-119.48168767541 49.873974725725 351.02469999999 
-119.48158389681 49.873974036726 351.6801 
-119.4815882381 49.873863635353 351.0128 
-119.48159433854 49.873862934235 351.1439 
-119.48159583993 49.873743809876 352.2279 
-119.48166602148 49.873744745362 350.6434 
-119.48166589345 49.873872181678 350.7506 
-119.48174833595 49.873873315024 350.8698 
-119.48174848552 49.873621534079 350.7029 
-119.48166574653 49.873622541265 350.67909999999 
-119.48166837862 49.873653928169 350.65519999999 
-119.481536026 49.873654159501 350.8221 
-119.4815341085 49.873576752325 352.5491 
-119.4816199368 49.873575141605 351.787 
-119.48162233801 49.873585951064 351.656 
-119.48176212225 49.873585559385 351.52499999999 
-119.48176288869 49.873606876499 351.5012 
-119.4820264223 49.873607500544 351.3582 
-119.48202788533 49.873590549065 351.4892 
-119.48204977299 49.87359004953 351.4654 
-119.48205004732 49.873578902323 351.4892 
-119.48205619914 49.873579708749 351.4895 
-119.48205476799 49.873518951566 351.76360000001 
-119.48202938216 49.873518620933 351.8827 
-119.48202834968 49.873436061014 351.3823 
-119.48202337208 49.873435781642 351.3704 
-119.48202367182 49.873425494888 351.3585 
-119.48199796033 49.873425170667 351.3704 
-119.48199731038 49.873408997729 351.3585 
-119.48176368057 49.873407181854 351.3704 
-119.48176198621 49.873429804649 351.3823 
-119.48167696246 49.873430510148 351.3585 
-119.48167461773 49.873463940046 351.5968 
-119.48162898009 49.873465102655 350.9296 
-119.48162659129 49.873446210415 352.2874 
-119.48164083151 49.873446834623 352.3946 
-119.48164142506 49.873410532542 352.4541 
-119.48162636632 49.873410874914 352.4541 
-119.4816263673 49.873402099642 352.4541 
-119.48161543382 49.873401339225 352.4065 
-119.48161238398 49.873313075138 351.5015 
-119.48164723397 49.873313654654 351.4181 
-119.4816466318 49.873142620594 351.4896 
-119.4816210708 49.873142447992 351.38310000001 
-119.48162097679 49.873128105925 351.3355 
-119.48160422716 49.873128027206 351.4189 
-119.48160465826 49.873125129024 351.4903 
-119.48150917969 49.873124201391 351.4903 
-119.48150763344 49.873137071255 351.5141 
-119.48147071576 49.873137706206 351.4903 
-119.48147064097 49.873142523999 351.57369999999 
-119.48138251787 49.873141238284 351.3593 
-119.48138129079 49.873146174962 351.31170000001 
-119.48136506472 49.873146100582 351.2641 
-119.48136517421 49.873161084485 351.3832 
-119.48133897467 49.873160761641 351.5022 
-119.48133991541 49.873312938819 351.3236 
-119.48137194158 49.873313434561 351.3355 
-119.48137379957 49.873389964753 350.69220000001 
-119.48137612056 49.87338994558 350.69220000001 
-119.48137620561 49.873418235556 350.75780000001 
-119.48114035854 49.873418704889 350.5255 
-119.48114166096 49.873455829732 351.0377 
-119.4811054644 49.873454017927 352.2283 
-119.4811037552 49.873460342618 352.31170000001 
-119.48107427031 49.873460477153 352.3593 
-119.48107444141 49.873312685969 351.7641 
-119.48108122926 49.873311352865 351.6689 
-119.4810836406 49.873221949466 351.4189 
-119.48111562049 49.873221155745 351.3593 
-119.48111657563 49.873051460375 351.20450000001 
-119.48109117143 49.873050266593 351.395 
-119.48109035274 49.873035809463 351.54979999999 
-119.48107412929 49.873036371606 351.54979999999 
-119.48107371608 49.873032413118 351.6093 
-119.48097914895 49.87303191812 351.59729999999 
-119.48097625329 49.873046272887 351.764 
-119.48093835183 49.873045743912 351.5854 
-119.48093775246 49.873050128832 351.7402 
-119.48085246013 49.87304817162 351.62119999999 
-119.48085192515 49.873054279187 351.5974 
-119.48083453315 49.873053996546 351.5855 
-119.48083337608 49.873069322248 351.52589999999 
-119.48081018472 49.873069086517 351.53780000001 
-119.48080780651 49.873221849896 351.53780000001 
